date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:19:43	296/296	---MC-	302	error ('Found')	text/html	date:Sat,%2028%20Mar%202020%2005:19:45%20GMT	https://10minuteschool.com/robots.txt		(from )
11:19:44	45989/45989	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Mar%202020%2016:45:15%20GMT	https://10minuteschool.com/	C:/My%20Web%20Sites/fff/10minuteschool.com/index.html	(from )
11:19:44	725/725	---M--	200	added ('OK')	image/png	etag:%22e45efa3840f58a1ddcfaec8df6ac5791%22	https://lms10.s3.ap-southeast-1.amazonaws.com/main/10ms_favicon.png	C:/My%20Web%20Sites/fff/lms10.s3.ap-southeast-1.amazonaws.com/main/10ms_favicon.png	(from https://10minuteschool.com/)
11:19:45	372/372	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Mar%202020%2005:19:46%20GMT	http://10minuteschool.com/wp-content/uploads/2015/04/10MinuteSchool-Join-Us.jpg	C:/My%20Web%20Sites/fff/10minuteschool.com/wp-content/uploads/2015/04/10MinuteSchool-Join-Us.1.delayed	(from https://10minuteschool.com/)
11:19:46	296/296	---MC-	302	error ('Found')	text/html	date:Sat,%2028%20Mar%202020%2005:19:47%20GMT	https://10minuteschool.com/wp-content/uploads/2015/04/10MinuteSchool-Join-Us.jpg	C:/My%20Web%20Sites/fff/10minuteschool.com/wp-content/uploads/2015/04/10MinuteSchool-Join-Us.jpg	(from https://10minuteschool.com/)
11:19:46	296/296	---MC-	302	error ('Found')	text/html	date:Sat,%2028%20Mar%202020%2005:19:48%20GMT	https://10minuteschool.com/wp-content/uploads/2015/04/10MinuteSchool-Join-Us.jpg	C:/My%20Web%20Sites/fff/10minuteschool.com/wp-content/uploads/2015/04/10MinuteSchool-Join-Us.jpg	(from https://10minuteschool.com/)
11:19:47	296/296	---MC-	302	error ('Found')	text/html	date:Sat,%2028%20Mar%202020%2005:19:48%20GMT	https://10minuteschool.com/wp-content/uploads/2015/04/10MinuteSchool-Join-Us.jpg	C:/My%20Web%20Sites/fff/10minuteschool.com/wp-content/uploads/2015/04/10MinuteSchool-Join-Us.jpg	(from https://10minuteschool.com/)
11:19:47	191308/191308	---M-Z	200	added ('OK')	text/css	etag:%222eb4c-5a148248ec3d2-gzip%22	https://10minuteschool.com/assets/styles/main.css	C:/My%20Web%20Sites/fff/10minuteschool.com/assets/styles/main.css	(from https://10minuteschool.com/)
11:19:48	26053/26053	---M-Z	200	added ('OK')	text/css	etag:W/%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/fff/unpkg.com/aos@2.3.1/dist/aos.css	(from https://10minuteschool.com/)
11:19:48	18514/18514	---M--	200	added ('OK')	image/png	etag:%22814c-5a00fadce04d0%22	https://10minuteschool.com/assets/images/10msblack.png	C:/My%20Web%20Sites/fff/10minuteschool.com/assets/images/10msblack.png	(from https://10minuteschool.com/)
11:19:48	11610/11610	---M--	200	added ('OK')	image/png	etag:%22300d-5a00fadce04d0%22	https://10minuteschool.com/assets/images/header/academic.png	C:/My%20Web%20Sites/fff/10minuteschool.com/assets/images/header/academic.png	(from https://10minuteschool.com/)
11:19:49	10361/10361	---M--	200	added ('OK')	image/png	etag:%222c3c-5a00fadce04d0%22	https://10minuteschool.com/assets/images/header/admission.png	C:/My%20Web%20Sites/fff/10minuteschool.com/assets/images/header/admission.png	(from https://10minuteschool.com/)
11:19:49	12929/12929	---M--	200	added ('OK')	image/png	etag:%223587-5a00fadce04d0%22	https://10minuteschool.com/assets/images/header/university.png	C:/My%20Web%20Sites/fff/10minuteschool.com/assets/images/header/university.png	(from https://10minuteschool.com/)
11:19:49	12155/12155	---M--	200	added ('OK')	image/png	etag:%2232c0-5a00fadce04d0%22	https://10minuteschool.com/assets/images/header/bcs.png	C:/My%20Web%20Sites/fff/10minuteschool.com/assets/images/header/bcs.png	(from https://10minuteschool.com/)
